,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName
0,1999-05-04,John Williams,False,Duel of the Fates,Best soundtracks
1,2006-03-20,Jeremy Soule,False,Reign of the Septims,Best soundtracks
2,2006-03-20,Jeremy Soule,False,King and Country,Best soundtracks
3,2021-11-12,London Symphony Orchestra,False,Dragonborn,Best soundtracks
4,2016-04-01,Hyperduck Soundworks,False,Beyond The Imperial Prison (Oblivion Medley),Best soundtracks
5,2021-06-03,Jeremy Soule,False,Morrowind Recomposed: The Elder Scrolls III Theme,Best soundtracks
6,2021-11-12,London Symphony Orchestra,False,One They Fear,Best soundtracks
7,2021-11-12,London Symphony Orchestra,False,Unbroken Road,Best soundtracks
8,2020-03-26,Collosia,False,"Peace of Akatosh (From ""The Elder Scrolls IV: Oblivion"")",Best soundtracks
9,2021-11-12,London Symphony Orchestra,False,Aurora,Best soundtracks
10,2021-11-12,London Symphony Orchestra,False,Far Horizons,Best soundtracks
11,2021-11-12,London Symphony Orchestra,False,"Sky Above, Voice Within",Best soundtracks
12,2021-11-12,London Symphony Orchestra,False,Kyne's Peace,Best soundtracks
13,2021-11-12,London Symphony Orchestra,False,From Past to Present,Best soundtracks
14,2002-12-02,Howard Shore,False,Evenstar,Best soundtracks
15,2015-09-09,Adam Skorupa,False,Dwarven Stone Upon Dwarven Stone,Best soundtracks
16,2020-08-28,Philip Wareborn,False,Veni Vidi Vici,Best soundtracks
17,2015-04-22,SIE Sound Team,False,Moonlit Melody,Best soundtracks
0,2014-01-14,DJ ESCO,True,How It Was (feat. Future),Gang shit (Classic)
1,1995-01-01,Luniz,False,I Got 5 On It,Gang shit (Classic)
2,2021-10-08,Don Toliver,True,You (feat. Travis Scott),Gang shit (Classic)
3,2018-02-09,ScHoolboy Q,True,X (with 2 Chainz & Saudi),Gang shit (Classic)
4,2021-10-08,Don Toliver,True,OUTERSPACE (feat. Baby Keem),Gang shit (Classic)
5,2021-10-08,Don Toliver,True,Smoke (feat. HVN & SoFaygo),Gang shit (Classic)
6,2021-05-14,J. Cole,False,a m a r i,Gang shit (Classic)
7,2021-06-11,Migos,True,Avalanche,Gang shit (Classic)
8,2018-01-26,Migos,True,Supastars,Gang shit (Classic)
9,2018-01-26,Migos,True,Walk It Talk It,Gang shit (Classic)
0,2016-07-15,21 Savage,True,X (feat. Future),Gang shit
1,2017-09-23,21 Savage,True,Bank Account,Gang shit
2,2020-10-02,21 Savage,True,Many Men,Gang shit
3,2021-06-17,Offset,True,Hit Em Hard,Gang shit
4,2021-06-17,Skepta,True,"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)",Gang shit
5,2018-01-26,Migos,True,Gang Gang,Gang shit
6,2020-03-06,Lil Uzi Vert,True,Lo Mein,Gang shit
7,2017-09-23,21 Savage,True,7 Min Freestyle,Gang shit
8,2019-10-31,21 Savage,True,Immortal,Gang shit
9,2021-06-17,Good Gas,True,Bushido,Gang shit
10,2018-12-21,21 Savage,True,a lot,Gang shit
11,2020-10-02,21 Savage,True,My Dawg,Gang shit
12,2020-10-02,21 Savage,True,Runnin,Gang shit
13,2020-10-02,21 Savage,True,RIP Luv,Gang shit
14,2020-10-02,21 Savage,True,Brand New Draco,Gang shit
15,2020-10-02,21 Savage,True,Snitches & Rats (feat. Young Nudy),Gang shit
16,2017-09-23,21 Savage,True,Numb,Gang shit
17,2018-10-12,Belly,True,Maintain,Gang shit
18,2017-09-23,21 Savage,True,Whole Lot,Gang shit
19,2016-07-15,21 Savage,True,Ocean Drive,Gang shit
20,2017-12-08,Quality Control,True,Too Hotty,Gang shit
21,2017-12-08,Quality Control,True,Ice Tray,Gang shit
22,2020-07-21,Thouxanbanfauni,True,ULTRA VIOLET,Gang shit
0,2020-01-10,Cruz Cafuné,True,Mina el Hammani,Trup
1,2017-02-09,Cruz Cafuné,True,Mi Casa,Trup
2,2021-12-03,Cruz Cafuné,True,Lila & Snitch,Trup
3,2021-04-21,Kaydy Cain,False,Hollywood,Trup
4,2021-07-22,Israel B,False,Tranquilísimo,Trup
5,2015-12-13,Kinder Malo,False,La Ley de Eddie Murphy,Trup
6,2021-10-28,Ergo Pro,True,Ebay,Trup
7,2020-01-10,Cruz Cafuné,True,Slow Mo,Trup
8,2020-01-10,Cruz Cafuné,True,Mi Isla / 10k,Trup
9,2020-01-10,Cruz Cafuné,False,Tentaciones,Trup
10,2018-03-16,Cruz Cafuné,True,Todos Esos Golfos,Trup
11,2022-02-11,Erik Urano,False,I+D,Trup
12,2020-11-13,Cruz Cafuné,True,VISIÓN TÚNEL,Trup
0,2006-01-01,Rick Ross,True,Hustlin',Music 2020
1,2017-04-14,Kendrick Lamar,True,HUMBLE.,Music 2020
2,2018-01-12,Jay Rock,True,"King's Dead (with Kendrick Lamar, Future & James Blake)",Music 2020
3,2017-04-14,Kendrick Lamar,True,ELEMENT.,Music 2020
4,2017-05-23,Future,True,Mask Off (feat. Kendrick Lamar) - Remix,Music 2020
5,2014-07-25,Bobby Shmurda,True,Hot N*gga,Music 2020
6,2018-03-30,SAINt JHN,True,Roses,Music 2020
7,2018-03-30,SAINt JHN,True,Reflex,Music 2020
8,2018-03-30,SAINt JHN,True,N***a Sh*t (Swoosh),Music 2020
9,2013-09-24,A$AP Rocky,True,r - Cali,Music 2020
10,2015-01-06,Rae Sremmurd,True,No Type,Music 2020
11,2014-01-01,YG,True,Who Do You Love?,Music 2020
12,2021-05-14,J. Cole,False,a m a r i,Music 2020
13,2018-01-26,Migos,True,Walk It Talk It,Music 2020
14,2014-01-14,DJ ESCO,True,How It Was (feat. Future),Music 2020
15,2017-02-03,Big Sean,True,Moves,Music 2020
16,2017-03-15,Ayo & Teo,False,Rolex,Music 2020
17,2017-12-08,Quality Control,True,Ice Tray,Music 2020
18,2018-05-04,Rae Sremmurd,True,Powerglide (feat. Juicy J) - From SR3MM,Music 2020
19,2016-06-03,Juicy J,True,Bossed Up,Music 2020
20,2019-06-08,Chris Brown,True,No Guidance (feat. Drake),Music 2020
21,2018-08-03,Travis Scott,True,SICKO MODE,Music 2020
22,2018-01-26,Migos,True,Supastars,Music 2020
23,2017-10-30,Offset,True,Ric Flair Drip (with Metro Boomin),Music 2020
24,2018-10-12,Quavo,True,PASS OUT (feat. 21 Savage),Music 2020
25,2020-03-13,Don Toliver,True,After Party,Music 2020
26,2020-10-02,21 Savage,True,Snitches & Rats (Interlude),Music 2020
27,2020-10-02,21 Savage,True,Snitches & Rats (feat. Young Nudy),Music 2020
28,2020-10-02,21 Savage,True,My Dawg,Music 2020
29,2020-10-02,21 Savage,True,No Opp Left Behind,Music 2020
30,2020-10-02,21 Savage,True,RIP Luv,Music 2020
31,2017-10-30,21 Savage,True,Rap Saved Me (feat. Quavo),Music 2020
32,2020-10-02,21 Savage,True,Runnin,Music 2020
33,2020-10-02,21 Savage,True,Brand New Draco,Music 2020
34,2020-01-10,Future,True,Life Is Good (feat. Drake),Music 2020
35,2017-09-23,21 Savage,True,7 Min Freestyle,Music 2020
36,2018-01-26,Migos,True,Gang Gang,Music 2020
37,2017-09-23,21 Savage,True,Bank Account,Music 2020
38,2016-05-27,Lil Uzi Vert,True,Money Longer,Music 2020
39,2020-03-06,Lil Uzi Vert,True,Lo Mein,Music 2020
40,1995-01-01,Luniz,False,I Got 5 On It,Music 2020
41,2020-10-02,21 Savage,True,Many Men,Music 2020
42,2018-12-21,21 Savage,True,a lot,Music 2020
43,2016-07-15,21 Savage,True,X (feat. Future),Music 2020
44,2016-07-15,21 Savage,True,Real Nigga,Music 2020
45,2019-10-31,21 Savage,True,Immortal,Music 2020
46,2021-06-17,Skepta,True,"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)",Music 2020
47,2021-06-17,Offset,True,Hit Em Hard,Music 2020
48,2016-07-15,21 Savage,True,No Advance,Music 2020
49,2016-07-15,21 Savage,True,Savage Mode,Music 2020
50,2018-02-09,ScHoolboy Q,True,X (with 2 Chainz & Saudi),Music 2020
51,2021-06-17,Murci,False,Exotic Race (feat. Sean Paul & Dixson Waz),Music 2020
52,2021-06-17,Good Gas,True,Bushido,Music 2020
53,2021-08-29,Kanye West,False,Heaven and Hell,Music 2020
54,2021-10-08,Don Toliver,True,You (feat. Travis Scott),Music 2020
55,2016-11-25,The Weeknd,True,Starboy,Music 2020
56,2018-02-09,The Weeknd,True,Pray For Me (with Kendrick Lamar),Music 2020
57,2021-06-11,Migos,True,Avalanche,Music 2020
58,2021-06-11,Migos,True,Picasso (feat. Future),Music 2020
59,2017-04-07,Migos,True,Bad and Boujee (feat. Lil Uzi Vert),Music 2020
60,2020-01-10,Cruz Cafuné,True,Mina el Hammani,Music 2020
61,2017-02-09,Cruz Cafuné,True,Mi Casa,Music 2020
62,2021-12-03,Cruz Cafuné,True,Lila & Snitch,Music 2020
0,2019-08-23,&ME,False,1995,Keinemusik
1,2021-01-22,Rampa,False,2000,Keinemusik
2,2019-07-05,Simple Symmetry,False,Enkidu - Adam Port's Tulum By Night Edit,Keinemusik
3,2019-06-28,Télépopmusik,False,Connection - Reznik & Good Guy Mikesh Remix,Keinemusik
0,2018-09-07,ZHU,False,My Life,Chill
1,2019-06-08,Chris Brown,True,No Guidance (feat. Drake),Chill
2,2018-11-09,Rompasso,False,Ignis,Chill
3,2018-12-14,Kaskade,False,On Your Mind,Chill
4,2018-12-14,LIRANOV,False,Гюрза (Instrumental Version),Chill
5,2018-11-07,C418,False,Shuniji,Chill
6,2018-10-12,Rompasso,False,Angetenar,Chill
7,2016-12-27,Rompasso,False,Isida,Chill
8,2017-11-29,Pascal Junior,False,Holdin' On,Chill
9,2014-12-29,Raving George,False,Slaves,Chill
10,2010-12-03,Kúra,False,Gógó - Lulu Rouge Remix,Chill
11,2018-02-16,Ash,False,Sing It Back,Chill
12,2017-08-04,Hakan Akkus,False,I Can't Be - Radio Mix,Chill
13,2019-04-24,Sako Isoyan,False,Dreamer,Chill
0,2013-04-19,Daft Punk,False,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,OT
1,2007-08-20,M.I.A.,False,Paper Planes,OT
2,2008-10-14,Elvis Crespo,False,Suavemente,OT
3,2001,Modjo,False,Lady - Hear Me Tonight,OT
4,1984-10-23,Wham!,False,Everything She Wants,OT
5,2002-05-24,N Joi,False,Anthem,OT
6,2002-06-04,Dirty Vegas,False,Days Go By,OT
7,2017-09-15,Kaleida,False,Think,OT
8,2016-02-26,Kaleida,False,Detune,OT
9,2018-09-21,Mall Grab,False,Liverpool Street In The Rain,OT
10,2014-07-01,Home,False,Resonance,OT
11,2010-08-20,Miami Horror,False,Sometimes,OT
12,1997-01-17,Daft Punk,False,Da Funk,OT
13,2014-10-21,M86,False,In My Mind,OT
14,1983-01-01,Naked Eyes,False,"Promises, Promises - US Single Version / 2018 Remaster",OT
15,2009-01-01,Archive,False,Bullets,OT
0,2013-01-31,Jeremy Soule,False,Dragonborn,Skyrim
1,2013-01-31,Jeremy Soule,False,Awake,Skyrim
2,2013-01-31,Jeremy Soule,False,From Past to Present,Skyrim
3,2013-01-31,Jeremy Soule,False,Unbroken Road,Skyrim
4,2013-01-31,Jeremy Soule,False,Ancient Stones,Skyrim
5,2013-01-31,Jeremy Soule,False,The City Gates,Skyrim
6,2013-01-31,Jeremy Soule,False,Silent Footsteps,Skyrim
7,2013-01-31,Jeremy Soule,False,Dragonsreach,Skyrim
8,2013-01-31,Jeremy Soule,False,Tooth and Claw,Skyrim
9,2013-01-31,Jeremy Soule,False,Under an Ancient Sun,Skyrim
10,2013-01-31,Jeremy Soule,False,Death or Sovngarde,Skyrim
11,2013-01-31,Jeremy Soule,False,Masser,Skyrim
12,2013-01-31,Jeremy Soule,False,Distant Horizons,Skyrim
13,2013-01-31,Jeremy Soule,False,Dawn,Skyrim
14,2013-01-31,Jeremy Soule,False,The Jerall Mountains,Skyrim
15,2013-01-31,Jeremy Soule,False,Steel on Steel,Skyrim
16,2013-01-31,Jeremy Soule,False,Secunda,Skyrim
17,2013-01-31,Jeremy Soule,False,Imperial Throne,Skyrim
18,2013-01-31,Jeremy Soule,False,Frostfall,Skyrim
19,2013-01-31,Jeremy Soule,False,Night Without Stars,Skyrim
20,2013-01-31,Jeremy Soule,False,Into Darkness,Skyrim
21,2013-01-31,Jeremy Soule,False,Kyne's Peace,Skyrim
22,2013-01-31,Jeremy Soule,False,Unbound,Skyrim
23,2013-01-31,Jeremy Soule,False,Far Horizons,Skyrim
24,2013-01-31,Jeremy Soule,False,A Winter's Tale,Skyrim
25,2013-01-31,Jeremy Soule,False,The Bannered Mare,Skyrim
26,2013-01-31,Jeremy Soule,False,The Streets of Whiterun,Skyrim
27,2013-01-31,Jeremy Soule,False,One They Fear,Skyrim
28,2013-01-31,Jeremy Soule,False,The White River,Skyrim
29,2013-01-31,Jeremy Soule,False,Silence Unbroken,Skyrim
30,2013-01-31,Jeremy Soule,False,Standing Stones,Skyrim
31,2013-01-31,Jeremy Soule,False,Beneath the Ice,Skyrim
32,2013-01-31,Jeremy Soule,False,Tundra,Skyrim
33,2013-01-31,Jeremy Soule,False,Journey's End,Skyrim
34,2013-01-31,Jeremy Soule,False,Before the Storm,Skyrim
35,2013-01-31,Jeremy Soule,False,A Chance Meeting,Skyrim
36,2013-01-31,Jeremy Soule,False,Out of the Cold,Skyrim
37,2013-01-31,Jeremy Soule,False,Around the Fire,Skyrim
38,2013-01-31,Jeremy Soule,False,Shadows and Echoes,Skyrim
39,2013-01-31,Jeremy Soule,False,Caught off Guard,Skyrim
40,2013-01-31,Jeremy Soule,False,Aurora,Skyrim
41,2013-01-31,Jeremy Soule,False,Blood and Steel,Skyrim
42,2013-01-31,Jeremy Soule,False,Towers and Shadows,Skyrim
43,2013-01-31,Jeremy Soule,False,Seven Thousand Steps,Skyrim
44,2013-01-31,Jeremy Soule,False,Solitude,Skyrim
45,2013-01-31,Jeremy Soule,False,Watch the Skies,Skyrim
46,2013-01-31,Jeremy Soule,False,The Gathering Storm,Skyrim
47,2013-01-31,Jeremy Soule,False,"Sky Above, Voice Within",Skyrim
48,2013-01-31,Jeremy Soule,False,Death in the Darkness,Skyrim
49,2013-01-31,Jeremy Soule,False,Shattered Shields,Skyrim
50,2013-01-31,Jeremy Soule,False,Sovngarde,Skyrim
51,2013-01-31,Jeremy Soule,False,Wind Guide You,Skyrim
52,2013-01-31,Jeremy Soule,False,Skyrim Atmospheres,Skyrim
0,2006-03-20,Jeremy Soule,False,Reign of the Septims,ES4
1,2006-03-20,Jeremy Soule,False,Through the Valleys,ES4
2,2006-03-20,Jeremy Soule,False,Death Knell,ES4
3,2006-03-20,Jeremy Soule,False,Harvest Dawn,ES4
4,2006-03-20,Jeremy Soule,False,Wind from the Depths,ES4
5,2006-03-20,Jeremy Soule,False,King and Country,ES4
6,2006-03-20,Jeremy Soule,False,Fall of the Hammer,ES4
7,2006-03-20,Jeremy Soule,False,Wings of Kynareth,ES4
8,2006-03-20,Jeremy Soule,False,All's Well,ES4
9,2006-03-20,Jeremy Soule,False,Tension,ES4
10,2006-03-20,Jeremy Soule,False,March of the Marauders,ES4
11,2006-03-20,Jeremy Soule,False,Watchman's Ease,ES4
12,2006-03-20,Jeremy Soule,False,Glory of Cyrodiil,ES4
13,2006-03-20,Jeremy Soule,False,Defending the Gate,ES4
14,2006-03-20,Jeremy Soule,False,Bloody Blades,ES4
15,2006-03-20,Jeremy Soule,False,Minstrel's Lament,ES4
16,2006-03-20,Jeremy Soule,False,Ancient Sorrow,ES4
17,2006-03-20,Jeremy Soule,False,Auriel's Ascension,ES4
18,2006-03-20,Jeremy Soule,False,Daedra in Flight,ES4
19,2006-03-20,Jeremy Soule,False,Unmarked Stone,ES4
20,2006-03-20,Jeremy Soule,False,Bloodlust,ES4
21,2006-03-20,Jeremy Soule,False,Sunrise of Flutes,ES4
22,2006-03-20,Jeremy Soule,False,Churl's Revenge,ES4
23,2006-03-20,Jeremy Soule,False,Deep Waters,ES4
24,2006-03-20,Jeremy Soule,False,Dusk at the Market,ES4
25,2020-03-26,Collosia,False,"Peace of Akatosh (From ""The Elder Scrolls IV: Oblivion"")",ES4
0,2018-07-05,Jeremy Soule,False,njól,Norn
1,2018-07-05,Jeremy Soule,False,útanlands,Norn
2,2018-07-05,Jeremy Soule,False,draumr,Norn
3,2018-07-05,Jeremy Soule,False,jata,Norn
4,2018-07-05,Jeremy Soule,False,leikr,Norn
5,2018-07-05,Jeremy Soule,False,bifröst,Norn
6,2018-07-05,Jeremy Soule,False,jafnan,Norn
7,2018-07-05,Jeremy Soule,False,freswick,Norn
8,2018-07-05,Jeremy Soule,False,ek elska þik,Norn
9,2018-07-05,Jeremy Soule,False,himinbjörg,Norn
10,2018-07-05,Jeremy Soule,False,vetr,Norn
11,2018-07-05,Jeremy Soule,False,ginnung,Norn
